file_name	gene_id
2770-51_2_one.out.merged.h.tsv	ENSG00000108702
2771-35_2_one.out.merged.h.tsv	ENSG00000146678
2773-50_2_one.out.merged.h.tsv	ENSG00000136634
2774-10_3_one.out.merged.h.tsv	ENSG00000172349
2775-54_2_one.out.merged.h.tsv	ENSG00000112116
2778-10_2_one.out.merged.h.tsv	ENSG00000127318
2780-35_2_one.out.merged.h.tsv	ENSG00000012223
2781-63_2_one.out.merged.h.tsv	ENSG00000276070
2783-18_2_one.out.merged.h.tsv	ENSG00000276085
2785-15_2_one.out.merged.h.tsv	ENSG00000108700
2788-55_1_one.out.merged.h.tsv	ENSG00000149968
2789-26_2_one.out.merged.h.tsv	ENSG00000137673
2790-54_2_one.out.merged.h.tsv	ENSG00000163736
2794-60_2_one.out.merged.h.tsv	ENSG00000142168
2795-23_3_one.out.merged.h.tsv	ENSG00000162551
2796-62_2_one.out.merged.h.tsv	ENSG00000171560
2796-62_2_one.out.merged.h.tsv	ENSG00000171564
2796-62_2_one.out.merged.h.tsv	ENSG00000171557
2797-56_2_one.out.merged.h.tsv	ENSG00000084674
2805-6_2_one.out.merged.h.tsv	ENSG00000130234
2806-49_2_one.out.merged.h.tsv	ENSG00000135503
2809-25_2_one.out.merged.h.tsv	ENSG00000158859
2811-27_1_one.out.merged.h.tsv	ENSG00000154188
2813-11_2_one.out.merged.h.tsv	ENSG00000159723
2816-50_2_one.out.merged.h.tsv	ENSG00000187244
2819-23_2_one.out.merged.h.tsv	ENSG00000179776
2822-56_2_one.out.merged.h.tsv	ENSG00000123146
2823-7_1_one.out.merged.h.tsv	ENSG00000149600
2826-53_2_one.out.merged.h.tsv	ENSG00000158813
2827-23_2_one.out.merged.h.tsv	ENSG00000006210
2828-82_2_one.out.merged.h.tsv	ENSG00000166145
2829-19_2_one.out.merged.h.tsv	ENSG00000197272
2829-19_2_one.out.merged.h.tsv	ENSG00000105246
2831-29_1_one.out.merged.h.tsv	ENSG00000167757
2833-20_1_one.out.merged.h.tsv	ENSG00000167749
2834-54_1_one.out.merged.h.tsv	ENSG00000129455
2835-1_4_one.out.merged.h.tsv	ENSG00000196419
2837-3_2_one.out.merged.h.tsv	ENSG00000105976
2838-53_1_one.out.merged.h.tsv	ENSG00000198598
2839-2_1_one.out.merged.h.tsv	ENSG00000117586
2841-13_2_one.out.merged.h.tsv	ENSG00000162998
2842-68_1_one.out.merged.h.tsv	ENSG00000108622
2843-13_2_one.out.merged.h.tsv	ENSG00000167642
2844-53_2_one.out.merged.h.tsv	ENSG00000066056
2846-24_2_one.out.merged.h.tsv	ENSG00000143947
2848-2_2_one.out.merged.h.tsv	ENSG00000156076
2849-49_1_one.out.merged.h.tsv	ENSG00000204472
2850-3_2_one.out.merged.h.tsv	ENSG00000118520
2851-63_3_one.out.merged.h.tsv	ENSG00000106804
2853-68_2_one.out.merged.h.tsv	ENSG00000149554
2855-49_2_one.out.merged.h.tsv	ENSG00000102882
2857-70_2_one.out.merged.h.tsv	ENSG00000113580
2858-29_2_one.out.merged.h.tsv	ENSG00000128708
2859-69_2_one.out.merged.h.tsv	ENSG00000147099
2860-19_2_one.out.merged.h.tsv	ENSG00000182481
2864-2_3_one.out.merged.h.tsv	ENSG00000169032
2865-77_2_one.out.merged.h.tsv	ENSG00000083168
2869-68_3_one.out.merged.h.tsv	ENSG00000163932
2870-29_2_one.out.merged.h.tsv	ENSG00000136238
2871-73_2_one.out.merged.h.tsv	ENSG00000051180
2875-15_2_one.out.merged.h.tsv	ENSG00000112592
2876-74_2_one.out.merged.h.tsv	ENSG00000198900
2877-3_1_one.out.merged.h.tsv	ENSG00000103275
2878-66_2_one.out.merged.h.tsv	ENSG00000176105
2879-9_2_one.out.merged.h.tsv	ENSG00000196136
2888-49_2_one.out.merged.h.tsv	ENSG00000112936
2889-37_2_one.out.merged.h.tsv	ENSG00000150281
2890-59_2_one.out.merged.h.tsv	ENSG00000151882
2891-1_3_one.out.merged.h.tsv	ENSG00000012124
2900-53_3_one.out.merged.h.tsv	ENSG00000276409
2906-55_3_one.out.merged.h.tsv	ENSG00000113520
2911-27_2_one.out.merged.h.tsv	ENSG00000110492
2913-1_2_one.out.merged.h.tsv	ENSG00000274736
2915-6_2_one.out.merged.h.tsv	ENSG00000132646
2917-3_2_one.out.merged.h.tsv	ENSG00000120659
2925-9_1_one.out.merged.h.tsv	ENSG00000106366
2937-10_2_one.out.merged.h.tsv	ENSG00000130203
2938-55_2_one.out.merged.h.tsv	ENSG00000130203
2939-10_2_one.out.merged.h.tsv	ENSG00000117407
2942-50_2_one.out.merged.h.tsv	ENSG00000172115
2943-5_2_one.out.merged.h.tsv	ENSG00000160868
2944-66_2_one.out.merged.h.tsv	ENSG00000158747
2945-25_1_one.out.merged.h.tsv	ENSG00000091831
2946-52_2_one.out.merged.h.tsv	ENSG00000197766
2948-58_2_one.out.merged.h.tsv	ENSG00000112964
2949-6_2_one.out.merged.h.tsv	ENSG00000069764
2950-57_2_one.out.merged.h.tsv	ENSG00000141753
2952-75_2_one.out.merged.h.tsv	ENSG00000017427
2953-31_2_one.out.merged.h.tsv	ENSG00000135346
2953-31_2_one.out.merged.h.tsv	ENSG00000104826
2954-56_2_one.out.merged.h.tsv	ENSG00000118113
2957-21_2_one.out.merged.h.tsv	ENSG00000204371
2960-66_2_one.out.merged.h.tsv	ENSG00000126759
2961-1_2_one.out.merged.h.tsv	ENSG00000115718
2962-50_2_one.out.merged.h.tsv	ENSG00000087494
2966-65_2_one.out.merged.h.tsv	ENSG00000105472
2967-8_1_one.out.merged.h.tsv	ENSG00000162692
2968-61_1_one.out.merged.h.tsv	ENSG00000181634
2969-11_1_one.out.merged.h.tsv	ENSG00000139567
2970-60_2_one.out.merged.h.tsv	ENSG00000109321
2972-57_2_one.out.merged.h.tsv	ENSG00000101144
2973-15_2_one.out.merged.h.tsv	ENSG00000135218
2974-61_2_one.out.merged.h.tsv	ENSG00000018236
2975-19_2_one.out.merged.h.tsv	ENSG00000118523
