file_name	gene_id
BNIP3.7045.4.3.tsv	ENSG00000176171
BNIP3L.7835.2.3.tsv	ENSG00000104765
BOC.4328.2.2.tsv	ENSG00000144857
BOLA2.8404.102.3.tsv	ENSG00000183336
BPGM.12020.39.3.tsv	ENSG00000172331
BPI.4126.22.1.tsv	ENSG00000101425
BPIFA1.6473.55.3.tsv	ENSG00000198183
BPIFB1.11246.3.3.tsv	ENSG00000125999
BRD1.11607.15.3.tsv	ENSG00000100425
BRDT.12748.6.3.tsv	ENSG00000137948
BRF1.5384.67.3.tsv	ENSG00000185024
BRICD5.6612.90.3.tsv	ENSG00000182685
BRPF1.11671.19.3.tsv	ENSG00000156983
BRSK2.9790.28.3.tsv	ENSG00000174672
BSG.3585.54.6.tsv	ENSG00000172270
BST1.4535.50.2.tsv	ENSG00000109743
BTK.3416.2.2.tsv	ENSG00000010671
BTNL9.7950.142.3.tsv	ENSG00000165810
BUB1.12033.3.3.tsv	ENSG00000169679
C10orf35.8220.15.3.tsv	ENSG00000171224
C10orf54.14123.34.3.tsv	ENSG00000107738
C11orf68.8307.47.3.tsv	ENSG00000175573
C12orf49.9387.13.3.tsv	ENSG00000111412
C14orf93.6439.59.3.tsv	ENSG00000100802
C16orf54.12394.53.3.tsv	ENSG00000185905
C17orf67.9070.1.3.tsv	ENSG00000214226
C17orf78.6571.75.3.tsv	ENSG00000278505
C17orf78.8545.14.3.tsv	ENSG00000278505
C17orf89.9030.56.3.tsv	ENSG00000224877
C18orf32.8236.8.3.tsv	ENSG00000177576
C19orf18.9445.44.3.tsv	ENSG00000177025
C19orf80.7183.102.3.tsv	ENSG00000130173
C1D.7821.6.3.tsv	ENSG00000197223
C1GALT1C1.5735.54.3.tsv	ENSG00000171155
C1QBP.4967.1.1.tsv	ENSG00000108561
C1QC.14100.63.3.tsv	ENSG00000159189
C1QL4.7132.55.3.tsv	ENSG00000186897
C1QTNF1.6304.8.3.tsv	ENSG00000173918
C1QTNF3.7251.64.3.tsv	ENSG00000082196
C1QTNF5.7810.20.3.tsv	ENSG00000223953
C1QTNF9.6019.12.3.tsv	ENSG00000240654
C1RL.9348.1.3.tsv	ENSG00000139178
C1orf115.8366.19.3.tsv	ENSG00000162817
C1orf185.10667.78.3.tsv	ENSG00000204006
C1orf198.8035.6.3.tsv	ENSG00000119280
C1orf210.8088.56.3.tsv	ENSG00000253313
C1orf226.7989.5.3.tsv	ENSG00000239887
C21orf33.5981.6.3.tsv	ENSG00000160221
C22orf15.7073.69.4.tsv	ENSG00000169314
C2orf40.6362.6.3.tsv	ENSG00000119147
C2orf66.5677.15.3.tsv	ENSG00000187944
C2orf82.9439.454.3.tsv	ENSG00000182600
C3.2755.8.2.tsv	ENSG00000125730
C3orf18.6994.19.3.tsv	ENSG00000088543
C4A.C4B.4481.34.2.tsv	ENSG00000244731
C5orf38.6378.2.3.tsv	ENSG00000186493
C5orf63.13378.80.3.tsv	ENSG00000164241
C6.4127.75.1.tsv	ENSG00000039537
C6orf226.8078.15.3.tsv	ENSG00000221821
C6orf89.10885.36.3.tsv	ENSG00000198663
C7orf69.9544.24.3.tsv	ENSG00000136275
C8A.C8B.C8G.2429.27.4.tsv	ENSG00000157131
C8orf33.9613.16.3.tsv	ENSG00000182307
C9.3060.43.2.tsv	ENSG00000113600
C9orf89.7778.104.3.tsv	ENSG00000165233
CA1.4969.2.1.tsv	ENSG00000133742
CA10.13666.222.3.tsv	ENSG00000154975
CA10.3289.19.2.tsv	ENSG00000154975
CA2.4970.55.1.tsv	ENSG00000104267
CA3.3799.11.2.tsv	ENSG00000164879
CA4.3177.49.2.tsv	ENSG00000167434
CA5A.8791.151.3.tsv	ENSG00000174990
CA6.3352.80.3.tsv	ENSG00000131686
CA9.3798.71.1.tsv	ENSG00000107159
CACNA2D3.8885.6.3.tsv	ENSG00000157445
CACYBP.12432.23.3.tsv	ENSG00000116161
